,Rank,Tourist Site Name,Site Link
0,1,The Getty Center,https://www.tripadvisor.com//Attraction_Review-g32655-d147966-Reviews-The_Getty_Center-Los_Angeles_California.html
1,2,Griffith Observatory,https://www.tripadvisor.com//Attraction_Review-g32655-d116887-Reviews-Griffith_Observatory-Los_Angeles_California.html
2,3,Universal Studios Hollywood,https://www.tripadvisor.com//Attraction_Review-g32655-d104417-Reviews-Universal_Studios_Hollywood-Los_Angeles_California.html
3,4,Petersen Automotive Museum,https://www.tripadvisor.com//Attraction_Review-g32655-d116989-Reviews-Petersen_Automotive_Museum-Los_Angeles_California.html
4,5,The Wizarding World of Harry Potter,https://www.tripadvisor.com//Attraction_Review-g32655-d10116569-Reviews-The_Wizarding_World_of_Harry_Potter-Los_Angeles_California.html
5,6,Battleship USS Iowa Museum,https://www.tripadvisor.com//Attraction_Review-g32655-d2440929-Reviews-Battleship_USS_Iowa_Museum-Los_Angeles_California.html
6,7,The Broad,https://www.tripadvisor.com//Attraction_Review-g32655-d8645857-Reviews-The_Broad-Los_Angeles_California.html
7,8,Staples Center,https://www.tripadvisor.com//Attraction_Review-g32655-d616425-Reviews-Staples_Center-Los_Angeles_California.html
8,9,Griffith Park,https://www.tripadvisor.com//Attraction_Review-g32655-d129312-Reviews-Griffith_Park-Los_Angeles_California.html
9,10,The Grove,https://www.tripadvisor.com//Attraction_Review-g32655-d547175-Reviews-The_Grove-Los_Angeles_California.html
10,11,La Brea Tar Pits and Museum,https://www.tripadvisor.com//Attraction_Review-g32655-d143830-Reviews-La_Brea_Tar_Pits_and_Museum-Los_Angeles_California.html
11,12,Walt Disney Concert Hall,https://www.tripadvisor.com//Attraction_Review-g32655-d258384-Reviews-Walt_Disney_Concert_Hall-Los_Angeles_California.html
12,13,Natural History Museum of Los Angeles County,https://www.tripadvisor.com//Attraction_Review-g32655-d103412-Reviews-Natural_History_Museum_of_Los_Angeles_County-Los_Angeles_California.html
13,14,Runyon Canyon Park,https://www.tripadvisor.com//Attraction_Review-g32655-d129374-Reviews-Runyon_Canyon_Park-Los_Angeles_California.html
14,15,Venice Canals Walkway,https://www.tripadvisor.com//Attraction_Review-g32655-d266790-Reviews-Venice_Canals_Walkway-Los_Angeles_California.html
