,Rank,Hotel Name,Rate,Site Link
0,1,JW Marriott Los Angeles L.A. LIVE,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1100791-Reviews-JW_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html
1,2,Sheraton Gateway Los Angeles Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d78046-Reviews-Sheraton_Gateway_Los_Angeles_Hotel-Los_Angeles_California.html
2,3,Renaissance Los Angeles Airport Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77944-Reviews-Renaissance_Los_Angeles_Airport_Hotel-Los_Angeles_California.html
3,4,"The Westin Bonaventure Hotel & Suites, Los Angeles",4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77874-Reviews-The_Westin_Bonaventure_Hotel_Suites_Los_Angeles-Los_Angeles_California.html
4,5,"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84463-Reviews-SLS_Hotel_a_Luxury_Collection_Hotel_Beverly_Hills-Los_Angeles_California.html
5,6,The Westin Los Angeles Airport,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119443-Reviews-The_Westin_Los_Angeles_Airport-Los_Angeles_California.html
6,7,W Hollywood,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1456409-Reviews-W_Hollywood-Los_Angeles_California.html
7,8,Residence Inn by Marriott Los Angeles LAX,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d7389126-Reviews-Residence_Inn_by_Marriott_Los_Angeles_LAX-Los_Angeles_California.html
8,9,"The Ritz-Carlton, Los Angeles",4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1563899-Reviews-The_Ritz_Carlton_Los_Angeles-Los_Angeles_California.html
9,10,W Los Angeles - West Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77700-Reviews-W_Los_Angeles_West_Beverly_Hills-Los_Angeles_California.html
10,11,Residence Inn by Marriott Los Angeles L.A. LIVE,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d6420746-Reviews-Residence_Inn_by_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html
11,12,Courtyard by Marriott Los Angeles L.A. LIVE,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d6434667-Reviews-Courtyard_by_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html
12,13,Holiday Inn Los Angeles - LAX Airport,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77923-Reviews-Holiday_Inn_Los_Angeles_LAX_Airport-Los_Angeles_California.html
13,14,"The Hoxton, Downtown LA",5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d19049463-Reviews-The_Hoxton_Downtown_LA-Los_Angeles_California.html
14,15,Luxe Sunset Boulevard Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77827-Reviews-Luxe_Sunset_Boulevard_Hotel-Los_Angeles_California.html
15,16,InterContinental Los Angeles Downtown,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d8678267-Reviews-InterContinental_Los_Angeles_Downtown-Los_Angeles_California.html
16,17,Hotel Normandie,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1632207-Reviews-Hotel_Normandie-Los_Angeles_California.html
17,18,Warner Center Marriott Woodland Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82689-Reviews-Warner_Center_Marriott_Woodland_Hills-Los_Angeles_California.html
18,19,Kimpton Hotel Palomar Los Angeles Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77775-Reviews-Kimpton_Hotel_Palomar_Los_Angeles_Beverly_Hills-Los_Angeles_California.html
19,20,Beverly Hills Marriott,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76061-Reviews-Beverly_Hills_Marriott-Los_Angeles_California.html
20,21,Hotel Bel-Air,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d111751-Reviews-Hotel_Bel_Air-Los_Angeles_California.html
21,22,Century Park Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84517-Reviews-Century_Park_Hotel-Los_Angeles_California.html
22,23,Los Angeles Airport Marriott,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d78037-Reviews-Los_Angeles_Airport_Marriott-Los_Angeles_California.html
23,24,Courtyard Los Angeles LAX/Century Boulevard,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d595476-Reviews-Courtyard_Los_Angeles_LAX_Century_Boulevard-Los_Angeles_California.html
24,25,Rotex Plaza Hotel,3 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d223050-Reviews-Rotex_Plaza_Hotel-Los_Angeles_California.html
25,26,Radisson Hotel Chatsworth,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84434-Reviews-Radisson_Hotel_Chatsworth-Los_Angeles_California.html
26,27,Samesun Hollywood,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119471-Reviews-Samesun_Hollywood-Los_Angeles_California.html
27,28,Sheraton Universal Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84422-Reviews-Sheraton_Universal_Hotel-Los_Angeles_California.html
28,29,Garden Cottage B & B,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d595189-Reviews-Garden_Cottage_B_B-Los_Angeles_California.html
29,30,Silver Lake Pool and Inn,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d18361580-Reviews-Silver_Lake_Pool_and_Inn-Los_Angeles_California.html
30,31,"The Hoxton, Downtown LA",5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d19049463-Reviews-The_Hoxton_Downtown_LA-Los_Angeles_California.html
31,32,Hyatt Regency Los Angeles International Airport,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d223049-Reviews-Hyatt_Regency_Los_Angeles_International_Airport-Los_Angeles_California.html
32,33,UCLA Meyer & Renee Luskin Conference Center,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d11662556-Reviews-UCLA_Meyer_Renee_Luskin_Conference_Center-Los_Angeles_California.html
33,34,Hotel Normandie,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1632207-Reviews-Hotel_Normandie-Los_Angeles_California.html
34,35,Magic Castle Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84502-Reviews-Magic_Castle_Hotel-Los_Angeles_California.html
35,36,Silver Lake Pool and Inn,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d18361580-Reviews-Silver_Lake_Pool_and_Inn-Los_Angeles_California.html
36,37,DoubleTree by Hilton Hotel San Pedro,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d81761-Reviews-DoubleTree_by_Hilton_Hotel_San_Pedro-Los_Angeles_California.html
37,38,Sofitel Los Angeles at Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76083-Reviews-Sofitel_Los_Angeles_at_Beverly_Hills-Los_Angeles_California.html
38,39,Beverly Laurel Motor Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82578-Reviews-Beverly_Laurel_Motor_Hotel-Los_Angeles_California.html
39,40,Los Angeles Airport Marriott,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d78037-Reviews-Los_Angeles_Airport_Marriott-Los_Angeles_California.html
40,41,The Moment Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d570050-Reviews-The_Moment_Hotel-Los_Angeles_California.html
41,42,Beverly Hills Marriott,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76061-Reviews-Beverly_Hills_Marriott-Los_Angeles_California.html
42,43,Hampton Inn & Suites Los Angeles Hollywood,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d223044-Reviews-Hampton_Inn_Suites_Los_Angeles_Hollywood-Los_Angeles_California.html
43,44,Kimpton Hotel Palomar Los Angeles Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77775-Reviews-Kimpton_Hotel_Palomar_Los_Angeles_Beverly_Hills-Los_Angeles_California.html
44,45,Tarzana Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82318-Reviews-Tarzana_Inn-Los_Angeles_California.html
45,46,Residence Inn by Marriott Los Angeles LAX,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d7389126-Reviews-Residence_Inn_by_Marriott_Los_Angeles_LAX-Los_Angeles_California.html
46,47,Wilshire Crest Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d274223-Reviews-Wilshire_Crest_Hotel-Los_Angeles_California.html
47,48,Freehand Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d11894770-Reviews-Freehand_Los_Angeles-Los_Angeles_California.html
48,49,Warner Center Marriott Woodland Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82689-Reviews-Warner_Center_Marriott_Woodland_Hills-Los_Angeles_California.html
49,50,Mikado Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d78679-Reviews-Mikado_Hotel-Los_Angeles_California.html
50,51,"The Ritz-Carlton, Los Angeles",4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1563899-Reviews-The_Ritz_Carlton_Los_Angeles-Los_Angeles_California.html
51,52,Rotex Plaza Hotel,3 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d223050-Reviews-Rotex_Plaza_Hotel-Los_Angeles_California.html
52,53,Century Park Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84517-Reviews-Century_Park_Hotel-Los_Angeles_California.html
53,54,The Canoga Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84437-Reviews-The_Canoga_Hotel-Los_Angeles_California.html
54,55,Samesun Venice Beach,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119373-Reviews-Samesun_Venice_Beach-Los_Angeles_California.html
55,56,DoubleTree by Hilton Hotel Los Angeles Downtown,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77714-Reviews-DoubleTree_by_Hilton_Hotel_Los_Angeles_Downtown-Los_Angeles_California.html
56,57,Hotel Aventura,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d8607570-Reviews-Hotel_Aventura-Los_Angeles_California.html
57,58,Holiday Inn Los Angeles - LAX Airport,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77923-Reviews-Holiday_Inn_Los_Angeles_LAX_Airport-Los_Angeles_California.html
58,59,Hollywood Inn Suites Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d13406175-Reviews-Hollywood_Inn_Suites_Hotel-Los_Angeles_California.html
59,60,Colony Inn North Hollywood,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d256799-Reviews-Colony_Inn_North_Hollywood-Los_Angeles_California.html
60,61,W Los Angeles - West Beverly Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77700-Reviews-W_Los_Angeles_West_Beverly_Hills-Los_Angeles_California.html
61,62,Best Western Plus Hollywood Hills Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77243-Reviews-Best_Western_Plus_Hollywood_Hills_Hotel-Los_Angeles_California.html
62,63,Hotel Bel-Air,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d111751-Reviews-Hotel_Bel_Air-Los_Angeles_California.html
63,64,Farmer's Daughter Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119479-Reviews-Farmer_s_Daughter_Hotel-Los_Angeles_California.html
64,65,Hollywood Celebrity Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84505-Reviews-Hollywood_Celebrity_Hotel-Los_Angeles_California.html
65,66,Residence Inn by Marriott Los Angeles L.A. LIVE,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d6420746-Reviews-Residence_Inn_by_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html
66,67,Holiday Inn Express Hotel & Suites Hollywood Hotel Walk of Fame,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1049387-Reviews-Holiday_Inn_Express_Hotel_Suites_Hollywood_Hotel_Walk_of_Fame-Los_Angeles_California.html
67,68,Courtyard by Marriott Los Angeles L.A. LIVE,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d6434667-Reviews-Courtyard_by_Marriott_Los_Angeles_L_A_LIVE-Los_Angeles_California.html
68,69,Holiday Inn Express North Hollywood - Burbank Area,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d4778089-Reviews-Holiday_Inn_Express_North_Hollywood_Burbank_Area-Los_Angeles_California.html
69,70,Best Western Woodland Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82679-Reviews-Best_Western_Woodland_Hills-Los_Angeles_California.html
70,71,Courtyard Los Angeles LAX/Century Boulevard,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d595476-Reviews-Courtyard_Los_Angeles_LAX_Century_Boulevard-Los_Angeles_California.html
71,72,The Dixie Hollywood,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d239812-Reviews-The_Dixie_Hollywood-Los_Angeles_California.html
72,73,Miyako Hotel Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d223046-Reviews-Miyako_Hotel_Los_Angeles-Los_Angeles_California.html
73,74,Hilton Woodland Hills Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82686-Reviews-Hilton_Woodland_Hills_Los_Angeles-Los_Angeles_California.html
74,75,Hollywood City Inn,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d502971-Reviews-Hollywood_City_Inn-Los_Angeles_California.html
75,76,Sonesta Los Angeles Airport,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84253-Reviews-Sonesta_Los_Angeles_Airport-Los_Angeles_California.html
76,77,Samesun Hollywood,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119471-Reviews-Samesun_Hollywood-Los_Angeles_California.html
77,78,SureStay Collection by Best Western Sunset West Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119454-Reviews-SureStay_Collection_by_Best_Western_Sunset_West_Hotel-Los_Angeles_California.html
78,79,Radisson Hotel Chatsworth,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84434-Reviews-Radisson_Hotel_Chatsworth-Los_Angeles_California.html
79,80,Extended Stay America - Los Angeles - LAX Airport,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84224-Reviews-Extended_Stay_America_Los_Angeles_LAX_Airport-Los_Angeles_California.html
80,81,Studio City Court Yard Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84428-Reviews-Studio_City_Court_Yard_Hotel-Los_Angeles_California.html
81,82,Best Western Plus San Pedro Hotel & Suites,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d81757-Reviews-Best_Western_Plus_San_Pedro_Hotel_Suites-Los_Angeles_California.html
82,83,Holiday Inn Express Los Angeles-LAX Airport,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77931-Reviews-Holiday_Inn_Express_Los_Angeles_LAX_Airport-Los_Angeles_California.html
83,84,Orange Drive Hostel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d531044-Reviews-Orange_Drive_Hostel-Los_Angeles_California.html
84,85,Venice Breeze Suites,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1217114-Reviews-Venice_Breeze_Suites-Los_Angeles_California.html
85,86,Sheraton Universal Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84422-Reviews-Sheraton_Universal_Hotel-Los_Angeles_California.html
86,87,Travelodge by Wyndham Hollywood-Vermont/Sunset,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77282-Reviews-Travelodge_by_Wyndham_Hollywood_Vermont_Sunset-Los_Angeles_California.html
87,88,Holiday Inn Express Hotel & Suites Woodland Hills,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1197096-Reviews-Holiday_Inn_Express_Hotel_Suites_Woodland_Hills-Los_Angeles_California.html
88,89,Lincoln Park Motel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d8772773-Reviews-Lincoln_Park_Motel-Los_Angeles_California.html
89,90,The Los Angeles Athletic Club Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119421-Reviews-The_Los_Angeles_Athletic_Club_Hotel-Los_Angeles_California.html
90,91,Holiday Inn Express West Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82650-Reviews-Holiday_Inn_Express_West_Los_Angeles-Los_Angeles_California.html
91,92,Hampton Inn & Suites Los Angeles/Sherman Oaks,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d673130-Reviews-Hampton_Inn_Suites_Los_Angeles_Sherman_Oaks-Los_Angeles_California.html
92,93,Kimpton Hotel Wilshire,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d2236331-Reviews-Kimpton_Hotel_Wilshire-Los_Angeles_California.html
93,94,Best Western Royal Palace Inn & Suites,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77708-Reviews-Best_Western_Royal_Palace_Inn_Suites-Los_Angeles_California.html
94,95,Best Western Plus Glendale,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76790-Reviews-Best_Western_Plus_Glendale-Los_Angeles_California.html
95,96,Hilton Checkers Los Angeles,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77888-Reviews-Hilton_Checkers_Los_Angeles-Los_Angeles_California.html
96,97,Best Western Plus LA Mid-Town Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77740-Reviews-Best_Western_Plus_LA_Mid_Town_Hotel-Los_Angeles_California.html
97,98,Dunes Inn Sunset,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77232-Reviews-Dunes_Inn_Sunset-Los_Angeles_California.html
98,99,Best Western Los Angeles Worldport Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d81120-Reviews-Best_Western_Los_Angeles_Worldport_Hotel-Los_Angeles_California.html
99,100,Best Western Canoga Park Motor Inn,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76325-Reviews-Best_Western_Canoga_Park_Motor_Inn-Los_Angeles_California.html
100,101,Best Western Plus Carriage Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82148-Reviews-Best_Western_Plus_Carriage_Inn-Los_Angeles_California.html
101,102,Hyatt House LA - University Medical Center,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d21343089-Reviews-Hyatt_House_LA_University_Medical_Center-Los_Angeles_California.html
102,103,Crowne Plaza Los Angeles Harbor Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d81765-Reviews-Crowne_Plaza_Los_Angeles_Harbor_Hotel-Los_Angeles_California.html
103,104,Best Western Burbank Airport Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1657336-Reviews-Best_Western_Burbank_Airport_Inn-Los_Angeles_California.html
104,105,Luxe City Center Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d77787-Reviews-Luxe_City_Center_Hotel-Los_Angeles_California.html
105,106,Banana Bungalow Hollywood Hotel & Hostel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d668172-Reviews-Banana_Bungalow_Hollywood_Hotel_Hostel-Los_Angeles_California.html
