,Rank,Restaurant Name,Style,Rate,Site Link
0,1,n/naka,"Japanese, Sushi",5.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html
1,2,Raffaello Ristorante,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d446648-Reviews-Raffaello_Ristorante-Los_Angeles_California.html
2,3,Brent's Delicatessen & Restaurant,"American, Deli",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348825-Reviews-Brent_s_Delicatessen_Restaurant-Los_Angeles_California.html
3,4,Providence,Seafood,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d594024-Reviews-Providence-Los_Angeles_California.html
4,5,Angelini Osteria,"Italian, Sicilian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350450-Reviews-Angelini_Osteria-Los_Angeles_California.html
5,6,Maccheroni Republic,"Italian, Mediterranean",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3848093-Reviews-Maccheroni_Republic-Los_Angeles_California.html
6,7,Sushi Gen,"Japanese, Sushi",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364705-Reviews-Sushi_Gen-Los_Angeles_California.html
7,8,Cafe Gratitude,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3458135-Reviews-Cafe_Gratitude-Los_Angeles_California.html
8,9,Langer's,"American, Deli",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364756-Reviews-Langer_s-Los_Angeles_California.html
9,10,Toast Bakery Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350178-Reviews-Toast_Bakery_Cafe-Los_Angeles_California.html
10,11,Karl Strauss Brewing Company,"American, Brew Pub",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d11829076-Reviews-Karl_Strauss_Brewing_Company-Los_Angeles_California.html
11,12,Flake,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4340723-Reviews-Flake-Los_Angeles_California.html
12,13,Nickel Diner,"American, Diner",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1591286-Reviews-Nickel_Diner-Los_Angeles_California.html
13,14,Magic Castle,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d941518-Reviews-Magic_Castle-Los_Angeles_California.html
14,15,Redbird,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d7617914-Reviews-Redbird-Los_Angeles_California.html
15,16,Pampas Grill,"Brazilian, Barbecue",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2146116-Reviews-Pampas_Grill-Los_Angeles_California.html
16,17,Genwa Korean BBQ,"Asian, Korean",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1994657-Reviews-Genwa_Korean_BBQ-Los_Angeles_California.html
17,18,Lemonade,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2435121-Reviews-Lemonade-Los_Angeles_California.html
18,19,The Boiling Crab,"American, Seafood",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2185973-Reviews-The_Boiling_Crab-Los_Angeles_California.html
19,20,Craft Los Angeles,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d875880-Reviews-Craft_Los_Angeles-Los_Angeles_California.html
20,21,SUGARFISH by sushi nozawa,"Japanese, Seafood",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1907184-Reviews-SUGARFISH_by_sushi_nozawa-Los_Angeles_California.html
21,22,Aroma Coffee & Tea,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d941759-Reviews-Aroma_Coffee_Tea-Los_Angeles_California.html
22,23,Off Vine,"American, Contemporary",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364726-Reviews-Off_Vine-Los_Angeles_California.html
23,24,The Griddle Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350455-Reviews-The_Griddle_Cafe-Los_Angeles_California.html
24,25,Cassell's Hamburgers,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d7387771-Reviews-Cassell_s_Hamburgers-Los_Angeles_California.html
25,26,The Factory Kitchen,"Italian, Northern-Italian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d5771804-Reviews-The_Factory_Kitchen-Los_Angeles_California.html
26,27,Ca' Del Sole,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364902-Reviews-Ca_Del_Sole-Los_Angeles_California.html
27,28,Cleo Hollywood,"Middle Eastern, Mediterranean",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1972743-Reviews-Cleo_Hollywood-Los_Angeles_California.html
